feature,importance_mean,importance_std
DaysAdm_max,0.020206592889092358,0.00214214886642233
Claims_Per_Bene,0.016344192143088077,0.0011852060608189456
Has_Deductible,0.005949169306110935,0.000936603507452143
Reimburse_Deductible_Ratio,0.002272542656921739,0.0007044039585428841
Dead_Patient_Ratio,0.0011899372390347107,0.00014830130700303057
Age,0.0007375103534337125,0.0001451600224693962
Disease_Count,0.0003646362482810694,0.0001540059772711227
Diag_Code_Count,0.0003581485064135248,7.05502032211076e-05
Physician_Count,0.00035372401080168147,0.00015495856614688408
Claim_Duration,0.0003152809494674336,0.00010161135992446973
Unique_Physicians,0.0002282616732083076,8.384299553452647e-05
ClaimDur_max,0.00016742393276242273,9.009363899633026e-05
Reimburse_std,7.666155925835083e-05,5.101407941673439e-05
Same_Physician,6.510259572074517e-05,2.4817557572428298e-05
Days_Admitted,3.1624706978306e-05,2.607301966837506e-05
IPAnnualDeductibleAmt,2.6227928145461378e-05,1.7368785633227684e-05
OPAnnualDeductibleAmt,2.2920762465994392e-05,1.40473802047958e-05
is_inpatient,2.0687515117823187e-05,1.0350512500702186e-05
RenalDiseaseIndicator,1.7741935312598488e-05,1.3322961130810613e-05
OPAnnualReimbursementAmt,1.0510971027222205e-05,1.0455803034798044e-05
Reimburse_max,9.719834077981381e-06,1.0455101786569986e-05
ChronicCond_Cancer,5.814885650501367e-06,7.1994664754908995e-06
Reimburse_CV,4.676856589025391e-06,5.723807361031648e-06
ClaimDur_std,4.65773636798561e-06,5.948114500689463e-06
InscClaimAmtReimbursed,3.5028383100876857e-06,4.74701805594258e-06
IPAnnualReimbursementAmt,2.3357290362846507e-06,3.113027929760109e-06
ChronicCond_KidneyDisease,1.1701695178834015e-06,2.49798152995235e-06
OP_TotalAmt,3.897997209123538e-07,1.1693991627370615e-06
DeductibleAmtPaid,3.3306690738754695e-17,5.087681048627601e-17
ChronicCond_ObstrPulmonary,3.3306690738754695e-17,5.087681048627602e-17
ChronicCond_Diabetes,3.3306690738754695e-17,5.087681048627601e-17
TotalClaimAmt,2.2204460492503132e-17,4.440892098500627e-17
IP_TotalAmt,2.2204460492503132e-17,4.440892098500627e-17
Dead_Beneficiary_Count,2.2204460492503132e-17,4.440892098500627e-17
Reimburse_min,1.1102230246251566e-17,3.33066907387547e-17
Has_GroupCode,1.1102230246251566e-17,3.33066907387547e-17
Has_AdmitDiag,1.1102230246251566e-17,3.33066907387547e-17
Proc_Code_Count,1.1102230246251566e-17,3.33066907387547e-17
ChronicCond_stroke,1.1102230246251566e-17,3.33066907387547e-17
ChronicCond_IschemicHeart,1.1102230246251566e-17,3.33066907387547e-17
Deductible_std,1.1102230246251566e-17,3.33066907387547e-17
Deductible_max,1.1102230246251566e-17,3.33066907387547e-17
ChronicCond_Alzheimer,0.0,0.0
Inpatient_Ratio,0.0,0.0
ChronicCond_Heartfailure,0.0,0.0
Claim_Count,0.0,0.0
DaysAdm_std,0.0,0.0
ChronicCond_Depression,0.0,0.0
Claim_GT_Admitted,0.0,0.0
ChronicCond_Osteoporasis,0.0,0.0
ChronicCond_rheumatoidarthritis,0.0,0.0
Beneficiary_Count,0.0,0.0
